a	A | A
boringly	BOR/-NG/-L/-Y | 3O8/-2/-4/-3
borings	BOR/-NG/-SS | 3O8/-2/-1
borne	BOR/-N | 3O8/-6
bornes	BOR/-N/-SS | 3O8/-6/-1
borstal	BOR/-SS/-T/-L | 3O8/-1/-7/-4
borstals	BOR/-SS/-T/-L/-SS | 3O8/-1/-7/-4/-1
botanies	BOT/-N/-Y/-SS | 3O7/-6/-3/-1
botanist	BOT/-N/-SS/-T | 3O7/-6/-1/-7
botanists	BOT/-N/-SS/-T/-SS | 3O7/-6/-1/-7/-1
botany	BOT/-N/-Y | 3O7/-6/-3
bottled	BOT/-L/-D | 3O7/-4/-5
bottle	BOT/-L | 3O7/-4
bottles	BOT/-L/-SS | 3O7/-4/-1
bottling	BOT/-L/-NG | 3O7/-4/-2
bottlings	BOT/-L/-NG/-SS | 3O7/-4/-2/-1
botulin	BOT/-L/-N | 3O7/-4/-6
branded	B/RAN/-D/-D | 3/1A6/-5/-5
brandies	B/RAN/-D/-Y/-SS | 3/1A6/-5/-3/-1
brandings	B/RAN/-D/-NG/-SS | 3/1A6/-5/-2/-1
branding	B/RAN/-D/-NG | 3/1A6/-5/-2
brand	B/RAN/-D | 3/1A6/-5
brands	B/RAN/-D/-SS | 3/1A6/-5/-1
brandy	B/RAN/-D/-Y | 3/1A6/-5/-3
bra	B/RA | 3/1A
bran	B/RAN | 3/1A6
bras	B/RASS | 3/1A1
brat	B/RAT | 3/1A7
brats	B/RAT/-SS | 3/1A7/-1
brattle	B/RAT/-L | 3/1A7/-4
bratty	B/RAT/-Y | 3/1A7/-3
bread	B/RED | 3/1E5
breads	B/RED/-SS | 3/1E5/-1
brollies	B/ROL/-Y/-SS | 3/1O4/-3/-1
brolly	B/ROL/-Y | 3/1O4/-3
brunt	B/RUN/-T | 3/1U6/-7
brunts	B/RUN/-T/-SS | 3/1U6/-7/-1
budded	BUD/-D | 3U5/-5
buddies	BUD/-Y/-SS | 3U5/-3/-1
budding	BUD/-NG | 3U5/-2
buddist	BUD/-SS/-T | 3U5/-1/-7
buddists	BUD/-SS/-T/-SS | 3U5/-1/-7/-1
buddy	BUD/-Y | 3U5/-3
bud	BUD | 3U5
buds	BUD/-SS | 3U5/-1
bulleted	BUL/-T/-D | 3U4/-7/-5
bulletin	BUL/-T/-N | 3U4/-7/-6
bulletins	BUL/-T/-N/-SS | 3U4/-7/-6/-1
bullet	BUL/-T | 3U4/-7
bullets	BUL/-T/-SS | 3U4/-7/-1
bullied	BUL/-D | 3U4/-5
bullied	BUL/-Y/-D | 3U4/-3/-5
bullies	BUL/-Y/-SS | 3U4/-3/-1
bull	BUL | 3U4
bulls	BUL/-SS | 3U4/-1
bullying	BUL/-NG | 3U4/-2
bullying	BUL/-Y/-NG | 3U4/-3/-2
bully	BUL/-Y | 3U4/-3
bund	BUN/-D | 3U6/-5
bundled	BUN/-D/-L/-D | 3U6/-5/-4/-5
bundle	BUN/-D/-L | 3U6/-5/-4
bundles	BUN/-D/-L/-SS | 3U6/-5/-4/-1
bundling	BUN/-D/-L/-NG | 3U6/-5/-4/-2
bunds	BUN/-D/-SS | 3U6/-5/-1
bunged	BUNG/-D | 3U2/-5
bunging	BUNG/-NG | 3U2/-2
bungled	BUNG/-L/-D | 3U2/-4/-5
bungle	BUNG/-L | 3U2/-4
bungles	BUNG/-L/-SS | 3U2/-4/-1
bunglingly	BUNG/-L/-NG/-L/-Y | 3U2/-4/-2/-4/-3
bungling	BUNG/-L/-NG | 3U2/-4/-2
bung	BUNG | 3U2
bungs	BUNG/-SS | 3U2/-1
bunnies	BUN/-Y/-SS | 3U6/-3/-1
bun	BUN | 3U6
bunny	BUN/-Y | 3U6/-3
buns	BUN/-SS | 3U6/-1
bunting	BUN/-T/-NG | 3U6/-7/-2
bunt	BUN/-T | 3U6/-7
burdened	BUR/-D/-N/-D | 3U8/-5/-6/-5
burdening	BUR/-D/-N/-NG | 3U8/-5/-6/-2
burden	BUR/-D/-N | 3U8/-5/-6
burdens	BUR/-D/-N/-SS | 3U8/-5/-6/-1
buried	BUR/-D | 3U8/-5
buried	BUR/-Y/-D | 3U8/-3/-5
buries	BUR/-Y/-SS | 3U8/-3/-1
burly	BUR/-L/-Y | 3U8/-4/-3
burl	BUR/-L | 3U8/-4
burned	BUR/-N/-D | 3U8/-6/-5
burney	BUR/-N/-Y | 3U8/-6/-3
burningly	BUR/-N/-NG/-L/-Y | 3U8/-6/-2/-4/-3
burnings	BUR/-N/-NG/-SS | 3U8/-6/-2/-1
burning	BUR/-N/-NG | 3U8/-6/-2
burns	BUR/-N/-SS | 3U8/-6/-1
burn	BUR/-N | 3U8/-6
burr	BUR | 3U8
burrs	BUR/-SS | 3U8/-1
bursaries	BUR/-SS/-R/-Y/-SS | 3U8/-1/-8/-3/-1
bursar	BUR/-SS/-R | 3U8/-1/-8
bursars	BUR/-SS/-R/-SS | 3U8/-1/-8/-1
bursary	BUR/-SS/-R/-Y | 3U8/-1/-8/-3
bursting	BUR/-SS/-T/-NG | 3U8/-1/-7/-2
burst	BUR/-SS/-T | 3U8/-1/-7
bursts	BUR/-SS/-T/-SS | 3U8/-1/-7/-1
burying	BUR/-NG | 3U8/-2
burying	BUR/-Y/-NG | 3U8/-3/-2
bury	BUR/-Y | 3U8/-3
but	BUT | 3U7
butler	BUT/-L/-R | 3U7/-4/-8
butlers	BUT/-L/-R/-SS | 3U7/-4/-8/-1
buts	BUT/-SS | 3U7/-1
butted	BUT/-D | 3U7/-5
buttered	BUT/-R/-D | 3U7/-8/-5
buttering	BUT/-R/-NG | 3U7/-8/-2
butter	BUT/-R | 3U7/-8
butters	BUT/-R/-SS | 3U7/-8/-1
buttery	BUT/-R/-Y | 3U7/-8/-3
butting	BUT/-NG | 3U7/-2
buttoned	BUT/-N/-D | 3U7/-6/-5
buttoning	BUT/-N/-NG | 3U7/-6/-2
button	BUT/-N | 3U7/-6
buttons	BUT/-N/-SS | 3U7/-6/-1
cabal	K/BAL | 2/3A4
cabals	K/BAL/-SS | 2/3A4/-1
cabanas	K/BAN/-SS | 2/3A6/-1
caddie	KAD/-Y | 2A5/-3
caddies	KAD/-Y/-SS | 2A5/-3/-1
cads	KAD/-SS | 2A5/-1
caddying	KAD/-NG | 2A5/-2
caddying	KAD/-Y/-NG | 2A5/-3/-2
cadet	K/DET | 2/6E7
cadets	K/DET/-SS | 2/6E7/-1
cad	KAD | 2A5
calendar	KAL/-N/-D/-R | 2A4/-6/-5/-8
calendars	KAL/-N/-D/-R/-SS | 2A4/-6/-5/-8/-1
calloused	KAL/-SS/-D | 2A4/-1/-5
callouses	KAL/-SS/-SS | 2A4/-1/-1
callous	KAL/-SS | 2A4/-1
callously	KAL/-SS/-L/-Y | 2A4/-1/-4/-3
cal	KAL | 2A4
calorie	KAL/-R/-Y | 2A4/-8/-3
calories	KAL/-R/-Y/-SS | 2A4/-8/-3/-1
calor	KAL/-R | 2A4/-8
khan	KAN | 2A6
candidate	KAN/-D/-D/-T | 2A6/-5/-5/-7
candidates	KAN/-D/-D/-T/-SS | 2A6/-5/-5/-7/-1
candid	KAN/-D/-D | 2A6/-5/-5
candidly	KAN/-D/-D/-L/-Y | 2A6/-5/-5/-4/-3
candied	KAN/-D/-Y/-D | 2A6/-5/-3/-5
candies	KAN/-D/-Y/-SS | 2A6/-5/-3/-1
candle	KAN/-D/-L | 2A6/-5/-4
candles	KAN/-D/-L/-SS | 2A6/-5/-4/-1
candor	KAN/-D/-R | 2A6/-5/-8
candy	KAN/-D/-Y | 2A6/-5/-3
canister	KAN/-SS/-T/-R | 2A6/-1/-7/-8
canisters	KAN/-SS/-T/-R/-SS | 2A6/-1/-7/-8/-1
canned	KAN/-D | 2A6/-5
cannel	KAN/-L | 2A6/-4
cannily	KAN/-L/-Y | 2A6/-4/-3
canning	KAN/-NG | 2A6/-2
cannoned	KAN/-N/-D | 2A6/-6/-5
cannoning	KAN/-N/-NG | 2A6/-6/-2
cannon	KAN/-N | 2A6/-6
cannons	KAN/-N/-SS | 2A6/-6/-1
cant	KAN/-T | 2A6/-7
canny	KAN/-Y | 2A6/-3
cans	KAN/-SS | 2A6/-1
canst	KAN/-SS/-T | 2A6/-1/-7
canted	KAN/-T/-D | 2A6/-7/-5
canter	KAN/-T/-R | 2A6/-7/-8
cantered	KAN/-T/-R/-D | 2A6/-7/-8/-5
cantering	KAN/-T/-R/-NG | 2A6/-7/-8/-2
canters	KAN/-T/-R/-SS | 2A6/-7/-8/-1
canting	KAN/-T/-NG | 2A6/-7/-2
cantle	KAN/-T/-L | 2A6/-7/-4
canton	KAN/-T/-N | 2A6/-7/-6
cantoned	KAN/-T/-N/-D | 2A6/-7/-6/-5
cantons	KAN/-T/-N/-SS | 2A6/-7/-6/-1
cants	KAN/-T/-SS | 2A6/-7/-1
canty	KAN/-T/-Y | 2A6/-7/-3
capellas	K/PEL/-SS | 2/4E4/-1
kart	KAR/-T | 2A8/-7
karts	KAR/-T/-SS | 2A8/-7/-1
carded	KAR/-D/-D | 2A8/-5/-5
cardinal	KAR/-D/-N/-L | 2A8/-5/-6/-4
cardinals	KAR/-D/-N/-L/-SS | 2A8/-5/-6/-4/-1
carding	KAR/-D/-NG | 2A8/-5/-2
card	KAR/-D | 2A8/-5
cards	KAR/-D/-SS | 2A8/-5/-1
carnal	KAR/-N/-L | 2A8/-6/-4
carnally	KAR/-N/-L/-Y | 2A8/-6/-4/-3
car	KAR | 2A8
caroled	KAR/-L/-D | 2A8/-4/-5
caroling	KAR/-L/-NG | 2A8/-4/-2
carols	KAR/-L/-SS | 2A8/-4/-1
carton	KAR/-T/-N | 2A8/-7/-6
carotid	K/ROT/-D | 2/1O7/-5
carried	KAR/-Y/-D | 2A8/-3/-5
carries	KAR/-Y/-SS | 2A8/-3/-1
carroty	KAR/-T/-Y | 2A8/-7/-3
carryings	KAR/-NG/-SS | 2A8/-2/-1
carryings	KAR/-Y/-NG/-SS | 2A8/-3/-2/-1
carrying	KAR/-NG | 2A8/-2
