a	A | A
starry	S/TAR/-Y | 7/8A8/-3
stars	S/TAR/-SS | 7/8A8/-1
started	S/TAR/-T/-D | 7/8A8/-7/-5
startingly	S/TAR/-T/-NG/-L/-Y | 7/8A8/-7/-2/-4/-3
starting	S/TAR/-T/-NG | 7/8A8/-7/-2
startled	S/TAR/-T/-L/-D | 7/8A8/-7/-4/-5
startles	S/TAR/-T/-L/-SS | 7/8A8/-7/-4/-1
startle	S/TAR/-T/-L | 7/8A8/-7/-4
startling	S/TAR/-T/-L/-NG | 7/8A8/-7/-4/-2
startlingly	S/TAR/-T/-L/-NG/-L/-Y | 7/8A8/-7/-4/-2/-4/-3
starts	S/TAR/-T/-SS | 7/8A8/-7/-1
start	S/TAR/-T | 7/8A8/-7
stats	S/TAT/-SS | 7/8A7/-1
statued	S/TAT/-D | 7/8A7/-5
statuses	S/TAT/-SS/-SS | 7/8A7/-1/-1
statute	S/TAT/-T | 7/8A7/-7
statutes	S/TAT/-T/-SS | 7/8A7/-7/-1
steadied	S/TED/-D | 7/8E5/-5
steadied	S/TED/-Y/-D | 7/8E5/-3/-5
steadies	S/TED/-Y/-SS | 7/8E5/-3/-1
steadily	S/TED/-L/-Y | 7/8E5/-4/-3
steading	S/TED/-NG | 7/8E5/-2
steadings	S/TED/-NG/-SS | 7/8E5/-2/-1
stead	S/TED | 7/8E5
steadying	S/TED/-Y/-NG | 7/8E5/-3/-2
steady	S/TED/-Y | 7/8E5/-3
stellar	S/TEL/-R | 7/8E4/-8
sterile	S/TER/-L | 7/8E8/-4
sterling	S/TER/-L/-NG | 7/8E8/-4/-2
stern	S/TER/-N | 7/8E8/-6
sternly	S/TER/-N/-L/-Y | 7/8E8/-6/-4/-3
sterns	S/TER/-N/-SS | 7/8E8/-6/-1
stertorous	S/TER/-T/-R/-SS | 7/8E8/-7/-8/-1
stertorously	S/TER/-T/-R/-SS/-L/-Y | 7/8E8/-7/-8/-1/-4/-3
stilettoed	S/T/LET/-D | 7/8/5E7/-5
stilettoing	S/T/LET/-NG | 7/8/5E7/-2
stilettos	S/T/LET/-SS | 7/8/5E7/-1
stolid	S/TOL/-D | 7/8O4/-5
stolidly	S/TOL/-D/-L/-Y | 7/8O4/-5/-4/-3
stored	S/TOR/-D | 7/8O8/-5
store	S/TOR | 7/8O8
stores	S/TOR/-SS | 7/8O8/-1
storeyed	S/TOR/-Y/-D | 7/8O8/-3/-5
storey	S/TOR/-Y | 7/8O8/-3
storeys	S/TOR/-Y/-SS | 7/8O8/-3/-1
storing	S/TOR/-NG | 7/8O8/-2
straddled	S/T/RAD/-L/-D | 7/8/1A5/-4/-5
straddles	S/T/RAD/-L/-SS | 7/8/1A5/-4/-1
straddle	S/T/RAD/-L | 7/8/1A5/-4
straddling	S/T/RAD/-L/-NG | 7/8/1A5/-4/-2
stranded	S/T/RAN/-D/-D | 7/8/1A6/-5/-5
stranding	S/T/RAN/-D/-NG | 7/8/1A6/-5/-2
strand	S/T/RAN/-D | 7/8/1A6/-5
strands	S/T/RAN/-D/-SS | 7/8/1A6/-5/-1
strangled	S/T/RANG/-L/-D | 7/8/1A2/-4/-5
strangles	S/T/RANG/-L/-SS | 7/8/1A2/-4/-1
strangle	S/T/RANG/-L | 7/8/1A2/-4
stranglings	S/T/RANG/-L/-NG/-SS | 7/8/1A2/-4/-2/-1
strangling	S/T/RANG/-L/-NG | 7/8/1A2/-4/-2
strangulate	S/T/RANG/-L/-T | 7/8/1A2/-4/-7
stratus	S/T/RAT/-SS | 7/8/1A7/-1
strong	S/T/RONG | 7/8/1O2
strongly	S/T/RONG/-L/-Y | 7/8/1O2/-4/-3
strung	S/T/RUNG | 7/8/1U2
strut	S/T/RUT | 7/8/1U7
struts	S/T/RUT/-SS | 7/8/1U7/-1
strutted	S/T/RUT/-D | 7/8/1U7/-5
struttingly	S/T/RUT/-NG/-L/-Y | 7/8/1U7/-2/-4/-3
strutting	S/T/RUT/-NG | 7/8/1U7/-2
studded	S/TUD/-D | 7/8U5/-5
studding	S/TUD/-NG | 7/8U5/-2
studiedly	S/TUD/-D/-L/-Y | 7/8U5/-5/-4/-3
studied	S/TUD/-Y/-D | 7/8U5/-3/-5
studies	S/TUD/-Y/-SS | 7/8U5/-3/-1
stud	S/TUD | 7/8U5
studs	S/TUD/-SS | 7/8U5/-1
studying	S/TUD/-Y/-NG | 7/8U5/-3/-2
study	S/TUD/-Y | 7/8U5/-3
stung	S/TUNG | 7/8U2
stunned	S/TUN/-D | 7/8U6/-5
stunning	S/TUN/-NG | 7/8U6/-2
stunningly	S/TUN/-NG/-L/-Y | 7/8U6/-2/-4/-3
stun	S/TUN | 7/8U6
stuns	S/TUN/-SS | 7/8U6/-1
stunted	S/TUN/-T/-D | 7/8U6/-7/-5
stunting	S/TUN/-T/-NG | 7/8U6/-7/-2
stunt	S/TUN/-T | 7/8U6/-7
stunts	S/TUN/-T/-SS | 7/8U6/-7/-1
stupendous	S/T/PEN/-D/-SS | 7/8/4E6/-5/-1
stupendously	S/T/PEN/-D/-SS/-L/-Y | 7/8/4E6/-5/-1/-4/-3
sturdily	S/TUR/-D/-L/-Y | 7/8U8/-5/-4/-3
sturdy	S/TUR/-D/-Y | 7/8U8/-5/-3
stuttered	S/TUT/-R/-D | 7/8U7/-8/-5
stutteringly	S/TUT/-R/-NG/-L/-Y | 7/8U7/-8/-2/-4/-3
stuttering	S/TUT/-R/-NG | 7/8U7/-8/-2
stutters	S/TUT/-R/-SS | 7/8U7/-8/-1
stutter	S/TUT/-R | 7/8U7/-8
subordinate	S/BOR/-D/-N/-T | 7/3O8/-5/-6/-7
subordinately	S/BOR/-D/-N/-T/-L/-Y | 7/3O8/-5/-6/-7/-4/-3
subordinates	S/BOR/-D/-N/-T/-SS | 7/3O8/-5/-6/-7/-1
suborned	S/BOR/-N/-D | 7/3O8/-6/-5
suborning	S/BOR/-N/-NG | 7/3O8/-6/-2
suborns	S/BOR/-N/-SS | 7/3O8/-6/-1
suborn	S/BOR/-N | 7/3O8/-6
sudden	SUD/-N | 7U5/-6
suddenly	SUD/-N/-L/-Y | 7U5/-6/-4/-3
sudd	SUD | 7U5
suds	SUD/-SS | 7U5/-1
sudsy	SUD/-SS/-Y | 7U5/-1/-3
sullen	SUL/-N | 7U4/-6
sullenly	SUL/-N/-L/-Y | 7U4/-6/-4/-3
sullied	SUL/-D | 7U4/-5
sullied	SUL/-Y/-D | 7U4/-3/-5
sullies	SUL/-Y/-SS | 7U4/-3/-1
sullying	SUL/-NG | 7U4/-2
sullying	SUL/-Y/-NG | 7U4/-3/-2
sully	SUL/-Y | 7U4/-3
sultanas	S/L/TAN/-SS | 7/5/8A6/-1
sultan	SUL/-T/-N | 7U4/-7/-6
sultans	SUL/-T/-N/-SS | 7U4/-7/-6/-1
sultrily	SUL/-T/-R/-L/-Y | 7U4/-7/-8/-4/-3
sultry	SUL/-T/-R/-Y | 7U4/-7/-8/-3
sundered	SUN/-D/-R/-D | 7U6/-5/-8/-5
sundering	SUN/-D/-R/-NG | 7U6/-5/-8/-2
sunders	SUN/-D/-R/-SS | 7U6/-5/-8/-1
sunder	SUN/-D/-R | 7U6/-5/-8
sundries	SUN/-D/-R/-Y/-SS | 7U6/-5/-8/-3/-1
sundry	SUN/-D/-R/-Y | 7U6/-5/-8/-3
sung	SUNG | 7U2
sunned	SUN/-D | 7U6/-5
sunning	SUN/-NG | 7U6/-2
sun	SUN | 7U6
sunny	SUN/-Y | 7U6/-3
suns	SUN/-SS | 7U6/-1
supplanted	S/P/LAN/-T/-D | 7/4/5A6/-7/-5
supplanting	S/P/LAN/-T/-NG | 7/4/5A6/-7/-2
supplants	S/P/LAN/-T/-SS | 7/4/5A6/-7/-1
supplant	S/P/LAN/-T | 7/4/5A6/-7
surd	SUR/-D | 7U8/-5
surlily	SUR/-L/-L/-Y | 7U8/-4/-4/-3
surly	SUR/-L/-Y | 7U8/-4/-3
surrendered	S/REN/-D/-R/-D | 7/1E6/-5/-8/-5
surrendering	S/REN/-D/-R/-NG | 7/1E6/-5/-8/-2
surrenders	S/REN/-D/-R/-SS | 7/1E6/-5/-8/-1
surrender	S/REN/-D/-R | 7/1E6/-5/-8
suspended	S/S/PEN/-D/-D | 7/7/4E6/-5/-5
suspending	S/S/PEN/-D/-NG | 7/7/4E6/-5/-2
suspends	S/S/PEN/-D/-SS | 7/7/4E6/-5/-1
suspend	S/S/PEN/-D | 7/7/4E6/-5
sword	SOR/-D | 7O8/-5
swords	SOR/-D/-SS | 7O8/-5/-1
tad	TAD | 8A5
talented	TAL/-N/-T/-D | 8A4/-6/-7/-5
talent	TAL/-N/-T | 8A4/-6/-7
talents	TAL/-N/-T/-SS | 8A4/-6/-7/-1
tallied	TAL/-D | 8A4/-5
tallied	TAL/-Y/-D | 8A4/-3/-5
tallies	TAL/-Y/-SS | 8A4/-3/-1
tallyings	TAL/-NG/-SS | 8A4/-2/-1
tallyings	TAL/-Y/-NG/-SS | 8A4/-3/-2/-1
tallying	TAL/-NG | 8A4/-2
tallying	TAL/-Y/-NG | 8A4/-3/-2
tally	TAL/-Y | 8A4/-3
talon	TAL/-N | 8A4/-6
talons	TAL/-N/-SS | 8A4/-6/-1
tangled	TANG/-L/-D | 8A2/-4/-5
tangle	TANG/-L | 8A2/-4
tangles	TANG/-L/-SS | 8A2/-4/-1
tanglingly	TANG/-L/-NG/-L/-Y | 8A2/-4/-2/-4/-3
tangling	TANG/-L/-NG | 8A2/-4/-2
tangly	TANG/-L/-Y | 8A2/-4/-3
tang	TANG | 8A2
tangoed	TANG/-D | 8A2/-5
tangoing	TANG/-NG | 8A2/-2
tangos	TANG/-SS | 8A2/-1
tangy	TANG/-Y | 8A2/-3
tan	TAN | 8A6
tanned	TAN/-D | 8A6/-5
tanning	TAN/-NG | 8A6/-2
tannin	TAN/-N | 8A6/-6
tannins	TAN/-N/-SS | 8A6/-6/-1
ta	TA | 8A
tans	TAN/-SS | 8A6/-1
tarantulas	T/RAN/-T/-L/-SS | 8/1A6/-7/-4/-1
tardily	TAR/-D/-L/-Y | 8A8/-5/-4/-3
tardy	TAR/-D/-Y | 8A8/-5/-3
tar	TAR | 8A8
tarred	TAR/-D | 8A8/-5
tarried	TAR/-Y/-D | 8A8/-3/-5
tarries	TAR/-Y/-SS | 8A8/-3/-1
tarring	TAR/-NG | 8A8/-2
tarry	TAR/-Y | 8A8/-3
tarryings	TAR/-NG/-SS | 8A8/-2/-1
tarryings	TAR/-Y/-NG/-SS | 8A8/-3/-2/-1
tarrying	TAR/-Y/-NG | 8A8/-3/-2
tars	TAR/-SS | 8A8/-1
tartaned	TAR/-T/-N/-D | 8A8/-7/-6/-5
tartan	TAR/-T/-N | 8A8/-7/-6
tartans	TAR/-T/-N/-SS | 8A8/-7/-6/-1
tartar	TAR/-T/-R | 8A8/-7/-8
tartars	TAR/-T/-R/-SS | 8A8/-7/-8/-1
tarted	TAR/-T/-D | 8A8/-7/-5
tarting	TAR/-T/-NG | 8A8/-7/-2
tart	TAR/-T | 8A8/-7
tartly	TAR/-T/-L/-Y | 8A8/-7/-4/-3
tarts	TAR/-T/-SS | 8A8/-7/-1
tarty	TAR/-T/-Y | 8A8/-7/-3
tat	TAT | 8A7
tats	TAT/-SS | 8A7/-1
tatted	TAT/-D | 8A7/-5
tattered	TAT/-R/-D | 8A7/-8/-5
tatter	TAT/-R | 8A7/-8
tatters	TAT/-R/-SS | 8A7/-8/-1
tatting	TAT/-NG | 8A7/-2
tattled	TAT/-L/-D | 8A7/-4/-5
tattle	TAT/-L | 8A7/-4
tattles	TAT/-L/-SS | 8A7/-4/-1
tattlingly	TAT/-L/-NG/-L/-Y | 8A7/-4/-2/-4/-3
tattlings	TAT/-L/-NG/-SS | 8A7/-4/-2/-1
tattling	TAT/-L/-NG | 8A7/-4/-2
tatty	TAT/-Y | 8A7/-3
teddies	TED/-Y/-SS | 8E5/-3/-1
teddy	TED/-Y | 8E5/-3
ted	TED | 8E5
tellies	TEL/-Y/-SS | 8E4/-3/-1
tellingly	TEL/-NG/-L/-Y | 8E4/-2/-4/-3
tellings	TEL/-NG/-SS | 8E4/-2/-1
telling	TEL/-NG | 8E4/-2
tells	TEL/-SS | 8E4/-1
tell	TEL | 8E4
telly	TEL/-Y | 8E4/-3
telnet	TEL/-N/-T | 8E4/-6/-7
telnets	TEL/-N/-T/-SS | 8E4/-6/-7/-1
tenanted	TEN/-N/-T/-D | 8E6/-6/-7/-5
tenant	TEN/-N/-T | 8E6/-6/-7
tenants	TEN/-N/-T/-SS | 8E6/-6/-7/-1
ten	TEN | 8E6
tended	TEN/-D/-D | 8E6/-5/-5
tendered	TEN/-D/-R/-D | 8E6/-5/-8/-5
tendering	TEN/-D/-R/-NG | 8E6/-5/-8/-2
tenderly	TEN/-D/-R/-L/-Y | 8E6/-5/-8/-4/-3
tender	TEN/-D/-R | 8E6/-5/-8
tenders	TEN/-D/-R/-SS | 8E6/-5/-8/-1
tending	TEN/-D/-NG | 8E6/-5/-2
tendon	TEN/-D/-N | 8E6/-5/-6
tendons	TEN/-D/-N/-SS | 8E6/-5/-6/-1
tendrilled	TEN/-D/-R/-L/-D | 8E6/-5/-8/-4/-5
tendril	TEN/-D/-R/-L | 8E6/-5/-8/-4
tendrils	TEN/-D/-R/-L/-SS | 8E6/-5/-8/-4/-1
tends	TEN/-D/-SS | 8E6/-5/-1
tend	TEN/-D | 8E6/-5
tent	TEN/-T | 8E6/-7
tents	TEN/-T/-SS | 8E6/-7/-1
tens	TEN/-SS | 8E6/-1
tenon	TEN/-N | 8E6/-6
tenons	TEN/-N/-SS | 8E6/-6/-1
tenor	TEN/-R | 8E6/-8
tenors	TEN/-R/-SS | 8E6/-8/-1
tensed	TEN/-SS/-D | 8E6/-1/-5
tenses	TEN/-SS/-SS | 8E6/-1/-1
tensile	TEN/-SS/-L | 8E6/-1/-4
tensing	TEN/-SS/-NG | 8E6/-1/-2
tented	TEN/-T/-D | 8E6/-7/-5
ternal	TER/-N/-L | 8E8/-6/-4
ternary	TER/-N/-R/-Y | 8E8/-6/-8/-3
tern	TER/-N | 8E8/-6
terns	TER/-N/-SS | 8E8/-6/-1
terries	TER/-Y/-SS | 8E8/-3/-1
terror	TER/-R | 8E8/-8
terrors	TER/-R/-SS | 8E8/-8/-1
terry	TER/-Y | 8E8/-3
terylene	TER/-L/-N | 8E8/-4/-6
tetanus	TET/-N/-SS | 8E7/-6/-1
tete	TET | 8E7
tetrad	TET/-R/-D | 8E7/-8/-5
to	TO | 8O
toddies	TOD/-Y/-SS | 8O5/-3/-1
toddled	TOD/-L/-D | 8O5/-4/-5
toddles	TOD/-L/-SS | 8O5/-4/-1
toddle	TOD/-L | 8O5/-4
toddling	TOD/-L/-NG | 8O5/-4/-2
toddy	TOD/-Y | 8O5/-3
tod	TOD | 8O5
tolerant	TOL/-R/-N/-T | 8O4/-8/-6/-7
tolerantly	TOL/-R/-N/-T/-L/-Y | 8O4/-8/-6/-7/-4/-3
tolerates	TOL/-R/-T/-SS | 8O4/-8/-7/-1
tolerate	TOL/-R/-T | 8O4/-8/-7
tongs	TONG/-SS | 8O2/-1
tongued	TONG/-D | 8O2/-5
tongue	TONG | 8O2
tonguey	TONG/-Y | 8O2/-3
tonne	TON | 8O6
tonnes	TON/-SS | 8O6/-1
tonsil	TON/-SS/-L | 8O6/-1/-4
tonsils	TON/-SS/-L/-SS | 8O6/-1/-4/-1
tonsor	TON/-SS/-R | 8O6/-1/-8
tore	TOR | 8O8
torrent	TOR/-N/-T | 8O8/-6/-7
torrents	TOR/-N/-T/-SS | 8O8/-6/-7/-1
torrid	TOR/-D | 8O8/-5
torridly	TOR/-D/-L/-Y | 8O8/-5/-4/-3
tors	TOR/-SS | 8O8/-1
torsos	TOR/-SS/-SS | 8O8/-1/-1
tort	TOR/-T | 8O8/-7
tortoises	TOR/-T/-SS/-SS | 8O8/-7/-1/-1
torts	TOR/-T/-SS | 8O8/-7/-1
totality	T/TAL/-T | 8/8A4/-7
tot	TOT | 8O7
tots	TOT/-SS | 8O7/-1
totted	TOT/-D | 8O7/-5
tottered	TOT/-R/-D | 8O7/-8/-5
tottering	TOT/-R/-NG | 8O7/-8/-2
totteringly	TOT/-R/-NG/-L/-Y | 8O7/-8/-2/-4/-3
totters	TOT/-R/-SS | 8O7/-8/-1
totter	TOT/-R | 8O7/-8
totting	TOT/-NG | 8O7/-2
trad	T/RAD | 8/1A5
treading	T/RED/-NG | 8/1E5/-2
treadle	T/RED/-L | 8/1E5/-4
treadles	T/RED/-L/-SS | 8/1E5/-4/-1
tread	T/RED | 8/1E5
treads	T/RED/-SS | 8/1E5/-1
trellised	T/REL/-SS/-D | 8/1E4/-1/-5
trellises	T/REL/-SS/-SS | 8/1E4/-1/-1
trellising	T/REL/-SS/-NG | 8/1E4/-1/-2
trellis	T/REL/-SS | 8/1E4/-1
trendies	T/REN/-D/-Y/-SS | 8/1E6/-5/-3/-1
trending	T/REN/-D/-NG | 8/1E6/-5/-2
trend	T/REN/-D | 8/1E6/-5
trends	T/REN/-D/-SS | 8/1E6/-5/-1
trendy	T/REN/-D/-Y | 8/1E6/-5/-3
trepanned	T/R/PAN/-D | 8/1/4A6/-5
trepanning	T/R/PAN/-NG | 8/1/4A6/-2
trepannings	T/R/PAN/-NG/-SS | 8/1/4A6/-2/-1
trepan	T/R/PAN | 8/1/4A6
tripartite	T/R/PAR/-T/-T | 8/1/4A8/-7/-7
tripartitely	T/R/PAR/-T/-T/-L/-Y | 8/1/4A8/-7/-7/-4/-3
trod	T/ROD | 8/1O5
trolley	T/ROL/-Y | 8/1O4/-3
trolleys	T/ROL/-SS | 8/1O4/-1
trolleys	T/ROL/-Y/-SS | 8/1O4/-3/-1
tron	T/RON | 8/1O6
trot	T/ROT | 8/1O7
trots	T/ROT/-SS | 8/1O7/-1
trotted	T/ROT/-D | 8/1O7/-5
trotting	T/ROT/-NG | 8/1O7/-2
trotty	T/ROT/-Y | 8/1O7/-3
trundled	T/RUN/-D/-L/-D | 8/1U6/-5/-4/-5
trundle	T/RUN/-D/-L | 8/1U6/-5/-4
trundles	T/RUN/-D/-L/-SS | 8/1U6/-5/-4/-1
trundling	T/RUN/-D/-L/-NG | 8/1U6/-5/-4/-2
tundras	TUN/-D/-R/-SS | 8U6/-5/-8/-1
tungsten	TUNG/-SS/-T/-N | 8U2/-1/-7/-6
tunneled	TUN/-L/-D | 8U6/-4/-5
tunnelings	TUN/-L/-NG/-SS | 8U6/-4/-2/-1
tunneling	TUN/-L/-NG | 8U6/-4/-2
tunnel	TUN/-L | 8U6/-4
tunnels	TUN/-L/-SS | 8U6/-4/-1
tunnies	TUN/-Y/-SS | 8U6/-3/-1
tun	TUN | 8U6
tunny	TUN/-Y | 8U6/-3
tuns	TUN/-SS | 8U6/-1
turd	TUR/-D | 8U8/-5
turds	TUR/-D/-SS | 8U8/-5/-1
turned	TUR/-N/-D | 8U8/-6/-5
turnings	TUR/-N/-NG/-SS | 8U8/-6/-2/-1
turning	TUR/-N/-NG | 8U8/-6/-2
turns	TUR/-N/-SS | 8U8/-6/-1
turn	TUR/-N | 8U8/-6
turreted	TUR/-T/-D | 8U8/-7/-5
turret	TUR/-T | 8U8/-7
turrets	TUR/-T/-SS | 8U8/-7/-1
turtle	TUR/-T/-L | 8U8/-7/-4
turtles	TUR/-T/-L/-SS | 8U8/-7/-4/-1
turtling	TUR/-T/-L/-NG | 8U8/-7/-4/-2
tut	TUT | 8U7
tutsi	TUT/-SS/-Y | 8U7/-1/-3
tuts	TUT/-SS | 8U7/-1
tutted	TUT/-D | 8U7/-5
tutting	TUT/-NG | 8U7/-2
udder	UD/-R | U5/-8
udders	UD/-R/-SS | U5/-8/-1
ulnas	UL/-N/-SS | U4/-6/-1
ultras	UL/-T/-R/-SS | U4/-7/-8/-1
ululate	UL/-L/-T | U4/-4/-7
under	UN/-D/-R | U6/-5/-8
underling	UN/-D/-R/-L/-NG | U6/-5/-8/-4/-2
underlings	UN/-D/-R/-L/-NG/-SS | U6/-5/-8/-4/-2/-1
undulant	UN/-D/-L/-N/-T | U6/-5/-4/-6/-7
undulates	UN/-D/-L/-T/-SS | U6/-5/-4/-7/-1
undulate	UN/-D/-L/-T | U6/-5/-4/-7
urn	UR/-N | U8/-6
urns	UR/-N/-SS | U8/-6/-1
ut	UT | U7
uttered	UT/-R/-D | U7/-8/-5
uttering	UT/-R/-NG | U7/-8/-2
utter	UT/-R | U7/-8
utterly	UT/-R/-L/-Y | U7/-8/-4/-3
utters	UT/-R/-SS | U7/-8/-1
